종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060250","NHN KCP","18910","-540","-2.78","1195","15.82","1448","13.06","7810","2.42","250","1.32"
"104200","NHN벅스","3535","0","0.00",,,,,"3749","0.94","0","0.00"
"054050","NH농우바이오","7610","-140","-1.81","767","9.92",,,"17324","0.44","250","3.29"
"005940","NH투자증권","34000","-2050","-5.69","2882","11.80","3808","8.93","25187","1.35","1300","3.82"
"005945","NH투자증권우","27100","-550","-1.99",,,,,,,"1350","4.98"
"034310","NICE","13370","-520","-3.74","1079","12.39",,,"21761","0.61","560","4.19"
"063570","NICE인프라","4100","-145","-3.42","234","17.52","540","7.59","6019","0.68","140","3.41"
"030190","NICE평가정보","13820","-310","-2.19","1317","10.49","1635","8.45","7931","1.74","510","3.69"
"008260","NI스틸","3680","-120","-3.16","673","5.47",,,"9590","0.38","100","2.72"
"004250","NPC","3535","-65","-1.81","339","10.43",,,"11789","0.30","105","2.97"
"004255","NPC우","2355","0","0.00",,,,,,,"110","4.67"
"222160","NPX","8040","0","0.00",,,,,"454","17.71","0","0.00"
"456040","OCI","135000","4000","3.05",,,"11966","11.28","125846","1.07","0","0.00"
"010060","OCI홀딩스","332500","13000","4.07",,,"14706","22.61","210598","1.58","1000","0.30"
"178920","PI첨단소재","29150","150","0.52","1035","28.16","1849","15.77","12094","2.41","350","1.20"
"001340","PKC","6370","-190","-2.90","229","27.82",,,"5057","1.26","30","0.47"
"024940","PN풍년","2875","-85","-2.87","306","9.40",,,"5519","0.52","35","1.22"
"005490","POSCO홀딩스","479000","-33000","-6.45","8697","55.08","26194","18.29","736969","0.65","10000","2.09"
"332570","PS일렉트로닉스","12120","650","5.67","482","25.15",,,"2734","4.43","0","0.00"
"218410","RFHIC","112500","8500","8.17","1131","99.47","1855","60.64","13376","8.41","400","0.36"
"327260","RF머트리얼즈 [락]","118700","3900","3.40","846","140.31","1751","67.77","6163","19.26","0","0.00"
"474610","RF시스템즈","11920","-250","-2.05","396","30.10",,,"3732","3.19","0","0.00"
"091340","S&K폴리텍","2530","0","0.00","295","8.58",,,"8631","0.29","0","0.00"
"010950","S-Oil","114300","3400","3.07","1519","75.25","13948","8.19","76339","1.50","330","0.29"
"010955","S-Oil우","56300","3800","7.24",,,,,,,"355","0.63"
"419530","SAMG엔터","36350","1150","3.27","3560","10.21","2928","12.41","8830","4.12","0","0.00"
"019550","SBI인베스트먼트","638","0","0.00","58","11.00",,,"912","0.70","0","0.00"
"034120","SBS","15060","-290","-1.89","433","34.78","1536","9.81","69877","0.22","330","2.19"
"003080","SB성보","2530","-30","-1.17","1759","1.44",,,"7843","0.32","205","8.10"
"246960","SCL사이언스","1833","-15","-0.81",,,,,"719","2.55","0","0.00"
"099220","SDN","1206","-38","-3.05",,,,,"1215","0.99","0","0.00"
"036540","SFA반도체","7990","-440","-5.22",,,"185","43.30","2884","2.77","0","0.00"
"255220","SG","2340","-95","-3.90",,,,,"1130","2.07","0","0.00"
"040610","SG&G","2175","0","0.00","806","2.70",,,"12347","0.18","0","0.00"
"184230","SGA솔루션즈","754","0","0.00","225","3.35",,,"377","2.00","0","0.00"
"016250","SGC E&C","15380","-490","-3.09",,,,,"61780","0.25","0","0.00"
"005090","SGC에너지","56900","-1100","-1.90",,,"2780","20.47","48667","1.17","1300","2.28"
"001380","SG글로벌","1700","-190","-10.05","124","13.71",,,"6772","0.25","0","0.00"
"004060","SG세계물산","3500","-160","-4.37","40","87.50",,,"13190","0.27","0","0.00"
"001770","SHD","16700","-420","-2.45","1620","10.31",,,"45604","0.37","200","1.20"
"002360","SH에너지화학","358","0","0.00",,,,,"642","0.56","0","0.00"
"009160","SIMPAC","6380","-300","-4.49","381","16.75",,,"12180","0.52","300","4.70"
"033530","SJG세종","7720","-450","-5.51","2541","3.04","2649","2.91","19312","0.40","200","2.59"
"123700","SJM","3715","-75","-1.98","777","4.78",,,"14855","0.25","205","5.52"
"025530","SJM홀딩스","3710","-65","-1.72","621","5.97",,,"12785","0.29","250","6.74"
"034730","SK","541000","-30000","-5.25","29000","18.66","64475","8.39","457231","1.18","8000","1.48"
"357880","SKAI","4000","100","2.56",,,,,"268","14.93","0","0.00"
"011790","SKC","145000","-11300","-7.23",,,,,"22956","6.32","0","0.00"
"018670","SK가스","269500","-500","-0.19","26176","10.30","34411","7.83","325701","0.83","9000","3.34"
"001740","SK네트웍스","6230","-220","-3.41","257","24.24","297","20.98","10430","0.60","250","4.01"
"006120","SK디스커버리","55500","-1400","-2.46","6961","7.97",,,"158509","0.35","2000","3.60"
"006125","SK디스커버리우","41000","-800","-1.91",,,,,,,"2050","5.00"
"210980","SK디앤디","12470","-200","-1.58","381","32.73",,,"30636","0.41","200","1.60"
"302440","SK바이오사이언스","41800","-400","-0.95",,,,,"22806","1.83","0","0.00"
"326030","SK바이오팜","102600","4000","4.06","3409","30.10","4824","21.27","10382","9.88","0","0.00"
"402340","SK스퀘어","1126000","-61000","-5.14","66713","16.88","240240","4.69","209564","5.37","0","0.00"
"361610","SK아이이테크놀로지","22950","-1550","-6.33",,,,,"31808","0.72","0","0.00"
"100090","SK오션플랜트","20450","-500","-2.39","625","32.72","988","20.71","13037","1.57","0","0.00"
"03473K","SK우","374000","-21000","-5.32",,,,,,,"8050","2.15"
"096770","SK이노베이션","128500","-4200","-3.17",,,"9208","13.96","128060","1.00","0","0.00"
"096775","SK이노베이션우","72200","-3000","-3.99",,,,,,,"0","0.00"
"475150","SK이터닉스","51700","2400","4.87","911","56.75","1430","36.15","8095","6.39","0","0.00"
"001510","SK증권","4775","-265","-5.26","138","34.60",,,"2887","1.65","0","0.00"
"001515","SK증권우","9990","-780","-7.24",,,,,,,"0","0.00"
"285130","SK케미칼","50500","-2600","-4.90","2306","21.90","7406","6.82","116581","0.43","1150","2.28"
"28513K","SK케미칼우","25600","-900","-3.40",,,,,,,"1200","4.69"
"017670","SK텔레콤","103400","5200","5.30","1825","56.66","5882","17.58","60395","1.71","1660","1.61"
"000660","SK하이닉스","1835000","-45000","-2.39","62044","29.58","327655","5.60","171751","10.68","3000","0.16"
"048550","SM C&C","1004","-36","-3.46",,,,,"843","1.19","0","0.00"
"063440","SM Life Design","1310","-66","-4.80","119","11.01",,,"1461","0.90","0","0.00"
"003570","SNT다이내믹스","51100","-1900","-3.58","2696","18.95",,,"36682","1.39","1800","3.52"
"064960","SNT모티브","32700","-500","-1.51","2921","11.19","3973","8.23","42534","0.77","1700","5.20"
"100840","SNT에너지","51700","-1400","-2.64","4270","12.11","4915","10.52","18458","2.80","1150","2.22"
"036530","SNT홀딩스","55300","-2200","-3.83","8924","6.20","11623","4.76","92522","0.60","3000","5.42"
"067160","SOOP","52700","-900","-1.68","9556","5.51","8492","6.21","43822","1.20","3380","6.41"
"000390","SP삼화","8200","-50","-0.61","308","26.62",,,"12503","0.66","350","4.27"
"011810","STX","3530","0","0.00",,,,,,,"0","0.00"
"465770","STX그린로지스","3895","200","5.41",,,,,"3282","1.19","0","0.00"
"077970","STX엔진","51300","-2200","-4.11","1793","28.61","2097","24.46","8545","6.00","0","0.00"
"002820","SUN&L","2305","-30","-1.28",,,,,"18273","0.13","0","0.00"
"289080","SV인베스트먼트","3855","-150","-3.75",,,,,"1313","2.94","0","0.00"
"002170","SYTS","59800","-1100","-1.81","9071","6.59",,,"171777","0.35","2300","3.85"
"041930","SY동아","6430","-220","-3.31","1888","3.41",,,"12809","0.50","300","4.67"
"084870","TBH글로벌","2000","-25","-1.23","43","46.51",,,"2972","0.67","50","2.50"
"002710","TCC스틸","17420","-710","-3.92",,,"1253","13.91","9346","1.86","70","0.40"
"013720","THE CUBE&","562","-38","-6.33",,,,,"960","0.59","0","0.00"
"089230","THE E&M","3860","-170","-4.22",,,,,"722","5.35","0","0.00"
"032540","TJ미디어","3565","-85","-2.33","191","18.66",,,"4010","0.89","320","8.98"
"069260","TKG휴켐스","17000","-180","-1.05","1561","10.89","1731","9.82","23511","0.72","1000","5.88"
"007980","TP","2050","30","1.49","819","2.50",,,"6164","0.33","75","3.66"
"048770","TPC로보틱스","5550","1280","29.98",,,,,"2317","2.40","10","0.18"
"246690","TS인베스트먼트","1610","-93","-5.46","172","9.36",,,"2075","0.78","15","0.93"
"317240","TS트릴리온","1243","31","2.56",,,,,"1030","1.21","0","0.00"
"002900","TYM","9000","-140","-1.53","984","9.15",,,"10601","0.85","290","3.22"
"024070","WISCOM","2260","-60","-2.59","88","25.68",,,"5754","0.39","50","2.21"
"057030","YBM넷","2555","-35","-1.35","99","25.81",,,"3239","0.79","100","3.91"
"037270","YG PLUS","4555","-75","-1.62","353","12.90",,,"2963","1.54","30","0.66"
"040300","YTN","3095","-70","-2.21",,,,,"4834","0.64","0","0.00"
"051390","YW","4570","80","1.78","632","7.23",,,"10506","0.43","230","5.03"
"052220","iMBC","2820","-95","-3.26",,,,,"2413","1.17","0","0.00"
"139130","iM금융지주","18470","-760","-3.95","2511","7.36","3156","5.85","38725","0.48","700","3.79"
"079940","가비아","32500","300","0.93","1232","26.38",,,"13565","2.40","100","0.31"
"078890","가온그룹","9860","-530","-5.10","395","24.96",,,"7147","1.38","70","0.71"
"000500","가온전선","564000","87000","18.24","3107","181.53",,,"29244","19.29","100","0.02"
"399720","가온칩스","64400","-6400","-9.04",,,,,"4714","13.66","0","0.00"
"036620","감성코퍼레이션","5710","-120","-2.06","387","14.75","578","9.87","1485","3.85","0","0.00"
"000860","강남제비스코","15150","700","4.84",,,,,"47663","0.32","250","1.65"
"198440","강동씨앤엘","1030","-23","-2.18","11","93.64",,,"2208","0.47","0","0.00"
"217730","강스템바이오텍","3550","-50","-1.39",,,,,"730","4.86","0","0.00"
"035250","강원랜드","15880","-130","-0.81","1572","10.10","1329","11.95","19841","0.80","950","5.98"
"114190","강원에너지","13540","-790","-5.51",,,,,"1321","10.25","0","0.00"
"094480","갤럭시아머니트리","7680","-260","-3.27","212","36.23",,,"3035","2.53","45","0.59"
"011420","갤럭시아에스엠","1734","-45","-2.53","135","12.84",,,"2624","0.66","0","0.00"
"039240","경남스틸","2655","-75","-2.75","172","15.44",,,"4224","0.63","120","4.52"
"053950","경남제약","2990","-35","-1.16",,,,,"6930","0.43","0","0.00"
"002100","경농","9890","-170","-1.69","1044","9.47",,,"14751","0.67","700","7.08"
"009450","경동나비엔","71900","400","0.56","6206","11.59","9568","7.51","53311","1.35","750","1.04"
"267290","경동도시가스","22200","-350","-1.55","5576","3.98",,,"80675","0.28","875","3.94"
"012320","경동인베스트","61400","-1200","-1.92","8482","7.24",,,"227089","0.27","750","1.22"
"011040","경동제약","5370","-90","-1.65","316","16.99",,,"7812","0.69","300","5.59"
"000050","경방","9270","-250","-2.63","1888","4.91",,,"31241","0.30","160","1.73"
"214390","경보제약","6370","120","1.92","8","796.25",,,"6096","1.04","50","0.78"
"012610","경인양행","5270","-500","-8.67","138","38.19",,,"5881","0.90","50","0.95"
"009140","경인전자","31650","1600","5.32","2937","10.78",,,"61271","0.52","500","1.58"
"024910","경창산업","1946","-54","-2.70",,,,,"3093","0.63","0","0.00"
"013580","계룡건설","26250","-1000","-3.67","11283","2.33",,,"106029","0.25","700","2.67"
"012200","계양전기","10990","2530","29.91",,,,,"734","14.97","0","0.00"
"012205","계양전기우","17570","4050","29.96",,,,,,,"0","0.00"
"002140","고려산업","2580","-30","-1.15","391","6.60",,,"4843","0.53","40","1.55"
"049720","고려신용정보","9940","-60","-0.60","951","10.45",,,"4407","2.26","500","5.03"
"010130","고려아연","1512000","-16000","-1.05","42566","35.52","63631","23.76","536342","2.82","20000","1.32"
"002240","고려제강","22350","-1000","-4.28","356","62.78",,,"67342","0.33","350","1.57"
"014570","고려제약","3830","-25","-0.65","602","6.36",,,"7678","0.50","180","4.70"
"348150","고바이오랩","4720","-10","-0.21",,,,,"1653","2.86","0","0.00"
"098460","고영","41400","-100","-0.24","224","184.82","738","56.12","5079","8.15","140","0.34"
"035290","골드앤에스","761","25","3.40",,,,,"483","1.58","0","0.00"
"215000","골프존","48950","50","0.10","4269","11.47","8867","5.52","73255","0.67","4000","8.17"
"121440","골프존홀딩스","4845","0","0.00","610","7.94",,,"19283","0.25","250","5.16"
"366030","공구우먼","6420","-220","-3.31","329","19.51",,,"3656","1.76","80","1.25"
"009290","광동제약","7920","110","1.41","521","15.20",,,"13201","0.60","100","1.26"
"017040","광명전기","932","0","0.00",,,,,"144","6.47","0","0.00"
"029480","광무","2050","-105","-4.87",,,,,"3491","0.59","0","0.00"
"017900","광전자","12610","-590","-4.47","85","148.35",,,"4784","2.64","50","0.40"
"037710","광주신세계","36500","-700","-1.88","5830","6.26",,,"113441","0.32","2400","6.58"
"026910","광진실업","2180","-140","-6.03",,,,,"3131","0.70","0","0.00"
"465320","교보15호스팩","2335","0","0.00",,,,,,,"0","0.00"
"482520","교보16호스팩","2040","0","0.00",,,,,,,"0","0.00"
"489210","교보17호스팩","2070","-20","-0.96",,,,,,,"0","0.00"
"0041B0","교보18호스팩","2020","5","0.25",,,,,,,"0","0.00"
"0098T0","교보19호스팩","2040","0","0.00",,,,,,,"0","0.00"
"0132G0","교보20호스팩","1998","-2","-0.10",,,,,,,"0","0.00"
"030610","교보증권","13930","-650","-4.46","1266","11.00",,,"18773","0.74","550","3.95"
"339770","교촌에프앤비","4175","-65","-1.53","351","11.89","645","6.47","3776","1.11","300","7.19"
"053270","구영테크","2240","-80","-3.45","860","2.60",,,"5617","0.40","70","3.13"
"007690","국도화학","38450","350","0.92","2538","15.15",,,"100377","0.38","1300","3.38"
"066620","국보디자인","24050","-500","-2.04","6006","4.00",,,"47874","0.50","500","2.08"
"043650","국순당","4010","-45","-1.11","397","10.10",,,"15068","0.27","80","2.00"
"006050","국영지앤엠","1128","-27","-2.34","50","22.56",,,"1546","0.73","0","0.00"
"060480","국일신동","1813","17","0.95","9","201.44",,,"3816","0.48","30","1.65"
"078130","국일제지","436","0","0.00",,,,,"106","4.11","0","0.00"
"307750","국전","3500","-65","-1.82",,,,,"1920","1.82","0","0.00"
"002720","국제약품","4310","5","0.12","280","15.39",,,"4617","0.93","30","0.70"
"035080","그래디언트","10800","-260","-2.35",,,,,"38707","0.28","200","1.85"
"318060","그래피","27600","-1500","-5.15",,,"387","71.30","1893","14.58","0","0.00"
"453450","그리드위즈","22350","-500","-2.19","270","82.78",,,"16771","1.33","0","0.00"
"204020","그리티","2330","-5","-0.21","238","9.79",,,"4344","0.54","115","4.94"
"0015G0","그린광학","29550","-1900","-6.04","212","139.39",,,"5602","5.27","0","0.00"
"402490","그린리소스","18880","-2470","-11.57","619","30.50",,,"4219","4.47","0","0.00"
"114450","그린생명과학","2805","45","1.63","6","467.50",,,"1930","1.45","0","0.00"
"083420","그린케미칼","5490","-210","-3.68","414","13.26",,,"5344","1.03","240","4.37"
"186230","그린플러스","4200","-20","-0.47",,,,,"3534","1.19","0","0.00"
"014530","극동유화","3630","-55","-1.49","34","106.76",,,"5888","0.62","200","5.51"
"204620","글로벌텍스프리","5700","-30","-0.52","504","11.31",,,"1993","2.86","0","0.00"
"019660","글로본","2160","-50","-2.26",,,,,"775","2.79","0","0.00"
"014280","금강공업","5280","-440","-7.69",,,,,"12448","0.42","120","2.27"
"014285","금강공업우","7080","-10","-0.14",,,,,,,"130","1.84"
"053260","금강철강","5660","20","0.35",,,,,"8115","0.70","170","3.00"
